Breakfast,Lunch,Dinner
Greek yogurt with mixed berries and honey,"Hummus and veggie wrap (whole-grain tortilla with hummus, sliced veggies such as cucumber, tomato, and bell pepper)","Black bean and vegetable stir-fry (black beans, mixed vegetables such as broccoli, carrots, and bell pepper, served over brown rice)"
Oatmeal with banana and almond butter,"Lentil soup (lentils, carrots, celery, onion, garlic, and vegetable broth)",Baked chicken breast with roasted sweet potato and green beans
Whole-grain toast with avocado and scrambled eggs,"Quinoa salad (quinoa, mixed veggies such as cucumber, tomato, and bell pepper, with a lemon and olive oil dressing)","Turkey chili (ground turkey, kidney beans, diced tomatoes, and chili spices, served with a side of whole-grain bread)"
"Smoothie (frozen berries, banana, spinach, almond milk, and protein powder)","Tuna salad (canned tuna, mixed veggies such as cucumber, tomato, and bell pepper, with a vinaigrette dressing)","Vegetable fajitas (sliced bell peppers, onions, and mushrooms, sautéed and served with whole-grain tortillas)"
Cottage cheese with sliced peaches and whole-grain toast,"Chickpea and vegetable curry (chickpeas, mixed veggies such as broccoli and carrots, in a tomato-based curry sauce, served with brown rice)",Grilled fish with roasted Brussels sprouts and brown rice
Scrambled eggs with sautéed spinach and whole-grain toast,"Veggie burger (homemade or store-bought, on a whole-grain bun with sliced tomato and lettuce)",Spaghetti squash with meat sauce (spaghetti squash with a ground beef and tomato sauce)
Whole-grain pancakes with banana and walnuts,"Grilled chicken salad (grilled chicken breast, mixed greens, sliced veggies such as cucumber and bell pepper, with a vinaigrette dressing)","Meatless stir-fry (tofu or tempeh, mixed veggies such as broccoli and carrots, served over brown rice)"
Greek yogurt with fresh fruit and granola,"Turkey sandwich on whole-grain bread with avocado, lettuce, and tomato","Baked chicken breast with roasted vegetables (such as carrots, broccoli, and bell peppers)"
Scrambled eggs with whole-grain toast and sliced tomatoes,Tuna salad with mixed greens and whole-grain crackers,"Beef stir-fry with brown rice and mixed vegetables (such as onions, peppers, and snap peas)"
Oatmeal with sliced banana and almond butter,"Grilled chicken salad with mixed greens, tomatoes, and cucumbers",Pork chops with roasted sweet potatoes and green beans
"Smoothie made with frozen berries, spinach, and Greek yogurt",Lentil soup with whole-grain bread,Baked salmon with roasted asparagus and quinoa
Whole-grain waffles with fresh berries and maple syrup,Grilled cheese sandwich on whole-grain bread with tomato soup,Turkey chili with mixed vegetables and brown rice
Veggie omelet with whole-grain toast,Chicken Caesar salad with whole-grain croutons,Baked tilapia with roasted Brussels sprouts and brown rice
"Breakfast burrito with scrambled eggs, black beans, avocado, and salsa",BLT sandwich on whole-grain bread with sweet potato fries,Grilled steak with roasted potatoes and green beans
"Overnight oats with almond milk, chia seeds, fresh fruit, and nuts","Chickpea salad with mixed greens, cucumber, tomato, and balsamic dressing","Baked chicken breast with roasted vegetables (such as carrots, broccoli, and bell peppers)"
Peanut butter and banana sandwich on whole-grain bread,"Caprese salad with mozzarella, tomato, and basil","Tofu stir-fry with brown rice and mixed vegetables (such as onions, peppers, and snap peas)"
"Greek yogurt with fresh fruit, honey, and granola",Lentil soup with whole-grain bread,"Baked sweet potato with black beans, avocado, and salsa"
"Smoothie made with frozen berries, almond milk, and spinach","Quinoa salad with mixed greens, cherry tomatoes, and roasted chickpeas",Baked salmon with roasted asparagus and quinoa
Whole-grain toast with avocado and sliced tomato,Hummus and vegetable wrap with whole-grain tortilla,"Vegetable stir-fry with brown rice and mixed vegetables (such as broccoli, carrots, and bell peppers)"
Banana and almond butter smoothie,Grilled cheese sandwich on whole-grain bread with tomato soup,Grilled portobello mushrooms with roasted sweet potatoes and green beans
Energy bars with mixed nuts and dried fruit,"Spinach salad with feta cheese, dried cranberries, and balsamic dressing",Eggplant parmesan with whole-grain pasta and marinara sauce
